Tabla 1
Tipo de incidencia;Motivo de gestión;ramo (solo aplica para las incidencias en las que aparece relleno);consideraciones ;Necesidad del cliente;Tipo de creación
Nueva contratación de seguros;Contratación Póliza;el que corresponda (hogar/auto/vida/decesos/Salud/otros);Si el cliente no existe se crea y sobre esa ficha se crea la incidencia=> entramos en creación de clientes, puede ser recomendado de cliente, sin referencias ….. Puede haber creado por una campaña de referimiento actualmente no muy activas salvo la del metro;Cliente llama porque quiere contratar un seguro y no tiene incidencia de vencimiento pendiente de contratar en nuestro sistema.;Manual / Automática
Nueva contratación de seguros;Póliza anterior suspensión de garantías;;"debe de tener la póliza el check de suspensión de garantias ""si"" ";Cliente llama porque quiere contratar un seguro y tiene una reserva de prima en cia;Manual / Automática
Modificación póliza emitida;Atención al cliente - Modif datos póliza;;rellenamos datos en notas;Cliente llama porque quiere hacer alguna modificación que no varía prima (nombre o apellido…) y nos facilita directamente el dato correcto;Manual / Automática
Modificación póliza emitida;Cambio nº de cuenta;;rellenamos datos en notas;Cliente llama porque quiere cambiar la ccc en las pólizas y nos facilita la nueva cuenta. ;Manual / Automática
Llamada asistencia en carretera;Siniestros;;;Cliente llama porque necesita una grúa. Pasamos directamente con asistencia de cia;Manual / Automática
Retención cliente;Retención cliente;;;Cliente llama para ver renovación o anular una póliza;Manual / Automática
Llamada gestión comercial;LLam gestión comerc;;;Cliente solicita alguna gestión sobre una póliza ya contratada que no es ni renovación ni anulación ;Manual / Automática
Llamada gestión comercial;Consulta cliente;;los gestores de att al cliente dan respuesta al cliente en línea , la incidencia se les genera a ellos y se debe cerrar siempre;"Cliente llama para realiza consulta y se puede resolver desde att cliente (info fechas de efecto, formas de pago, cias contratadas…) en el caso de IA aquí entraria todas las dudas que resuelva que se le haya facultado para ello en las FAQ:                                                                                                                                                                                                                                                                ¿Cuál es la fecha de efecto de mi póliza?	               Tu póliza comenzó el {{fecha_efecto}} 
                                                                                                  Tu póliza entrará en efecto el próximo {{fecha_efecto}}
¿Cuál es mi número de póliza?	                                  Es {{poliza}}. Guarda este número: te lo pedirán en gestiones y partes. Puedes consultarnos cuando lo necesites
¿Con qué compañía está emitida mi póliza?	       Tu contrato lo suscribe {{compañia}} intermediado por Correduría de Seguros Nogal.
¿Cómo se realiza el pago?	                                            Usamos domiciliación SEPA en tu cuenta o bien domiciliación en tarjeta de crédito.
¿Cuándo se gira el próximo recibo?	                          Su póliza es semestral y su próximo recibo lo pasaran en el mes … {{mes de renovación}}+6  (debe calular en función a la fecha de efecto) ";Manual / Automática
Baja cliente en BBDD;Baja Cliente BBDD;;;Cliente llama solicitando baja en la base de datos de sus datos porque no quiere que le llamen más;Manual / Automática
Reclamación cliente regalo;Reclamación atención al cliente;;;Cliente llama indicando que no ha recibido regalo ofrecido por comercial, por recomendar a otro cliente...;Manual / Automática
Solicitud duplicado póliza;Duplicado Tarjeta;;;Cliente solicita envío de duplicado de las tarjetas de seguro de decesos o salud;Manual / Automática
Solicitud duplicado póliza;Email;;;Cliente solicita envío de duplicado de póliza por email;Manual / Automática
Modificación póliza emitida;Cambio fecha de efecto;;metemos en notas este dato;Cliente solicita el cambio de la fecha de efecto de la póliza, el cambio de la entrada en vigor de su seguro.;Manual / Automática
Modificación póliza emitida;Cambio forma de pago;;metemos en notas este dato;Cliente solicita el cambio de la forma de pago, de la peridicidad del pago de su póliza sin que fuera anual la forma de pago que tenia y que quiere modificar;Manual / Automática
Llamada gestión comercial;Cambio forma de pago;;metemos en notas este dato;Cliente solicita el cambio de la forma de pago, tiene forma de pago anual y quiere fraccionar;Manual / Automática
Modificación póliza emitida;Modificación nº  asegurados;;metemos en notas este dato. Metemos en notas asegurado a incluir o excluir. Nombre apellidos DNI si lo tuviera y fecha de nacimiento- Nombre y apellidos del asegurado a excluir. Metemos en notas desde que fecha quiere el cliente que entre en vigor el cambio;Cliente solicita que se incluya a un nuevo asegurado o bien que se elimine a alguno de los que tiene inluidos en póliza. Hay que preguntarle desde que que fecha quiere que aplique el cambio;Manual / Automática
Modificación póliza emitida;Cambio dirección postal;;metemos en notas la nueva dirección ;Cliente solitica que se modifique la dirección postal de sus pólizas;Manual / Automática
